,dates,price
0,2023-08-08,96.6
1,2023-08-09,96.8
2,2023-08-10,96.7
3,2023-08-11,96.93
4,2023-08-14,96.67
5,2023-08-15,96.29
6,2023-08-16,95.67
7,2023-08-17,95.44
8,2023-08-18,95.13
9,2023-08-21,95.02
10,2023-08-22,94.65
11,2023-08-23,94.34
12,2023-08-24,94.91
13,2023-08-25,94.42
14,2023-08-28,95.33
15,2023-08-29,95.55
16,2023-08-30,95.74
17,2023-08-31,96.0
18,2023-09-01,96.28
19,2023-09-04,96.46
20,2023-09-05,96.03
21,2023-09-06,95.83
22,2023-09-07,95.81
23,2023-09-08,95.8
24,2023-09-11,96.29
25,2023-09-12,96.39
26,2023-09-13,96.73
27,2023-09-14,97.19
28,2023-09-15,96.82
29,2023-09-18,96.44
30,2023-09-19,96.75
31,2023-09-20,96.97
32,2023-09-21,96.49
33,2023-09-22,95.39
34,2023-09-25,95.3
35,2023-09-26,95.13
36,2023-09-27,95.37
37,2023-09-28,95.45
38,2023-09-29,95.63
39,2023-10-02,95.01
40,2023-10-03,93.63
41,2023-10-04,92.24
42,2023-10-05,92.41
43,2023-10-06,92.31
44,2023-10-09,92.63
45,2023-10-10,94.97
46,2023-10-11,94.8
47,2023-10-12,94.47
48,2023-10-13,94.92
49,2023-10-16,94.25
50,2023-10-17,95.49
51,2023-10-18,95.75
52,2023-10-19,95.57
53,2023-10-20,93.96
54,2023-10-23,93.41
55,2023-10-24,92.44
56,2023-10-25,92.33
57,2023-10-26,93.17
58,2023-10-27,92.19
59,2023-10-30,91.6
60,2023-10-31,93.3
61,2023-11-01,94.11
62,2023-11-02,95.51
63,2023-11-03,97.06
64,2023-11-06,96.68
65,2023-11-07,96.85
66,2023-11-08,96.68
